28,1,Friday   ,10.45,3 Bor,8 Other,2 Road-Wet
26,1,Monday   ,8.5,1 TLRN,2 Raining,2 Road-Wet
0,1,Monday   ,8.5,1 TLRN,2 Raining,2 Road-Wet
63,1,Wednesday,22.3,1 TLRN,2 Raining,2 Road-Wet
26,1,Thursday ,9.5,1 TLRN,1 Fine,1 Road-Dry
55,1,Thursday ,9.5,1 TLRN,1 Fine,1 Road-Dry
42,1,Monday   ,13.5,3 Bor,1 Fine,1 Road-Dry
50,1,Monday   ,13.5,3 Bor,1 Fine,1 Road-Dry
49,1,Sunday   ,5.3,3 Bor,1 Fine,1 Road-Dry
44,1,Sunday   ,5.3,3 Bor,1 Fine,1 Road-Dry
0,1,Thursday ,18.45,3 Bor,1 Fine,1 Road-Dry
34,1,Thursday ,18.45,3 Bor,1 Fine,1 Road-Dry
36,1,Thursday ,9,1 TLRN,3 Snowing,2 Road-Wet
57,1,Saturday ,15,3 Bor,1 Fine,1 Road-Dry
51,1,Saturday ,15,3 Bor,1 Fine,1 Road-Dry
33,1,Monday   ,18.44,3 Bor,1 Fine,1 Road-Dry
21,1,Monday   ,18.05,3 Bor,1 Fine,1 Road-Dry
46,1,Friday   ,12.55,3 Bor,1 Fine,1 Road-Dry
0,1,Friday   ,12.55,3 Bor,1 Fine,1 Road-Dry
51,1,Friday   ,12.36,3 Bor,1 Fine,1 Road-Dry
24,1,Friday   ,12.36,3 Bor,1 Fine,1 Road-Dry
0,1,Monday   ,8.5,3 Bor,1 Fine,1 Road-Dry
51,1,Monday   ,8.5,3 Bor,1 Fine,1 Road-Dry
35,1,Thursday ,8.04,3 Bor,1 Fine,1 Road-Dry
40,1,Thursday ,8.04,3 Bor,1 Fine,1 Road-Dry
26,1,Sunday   ,18,3 Bor,1 Fine,1 Road-Dry
0,1,Sunday   ,18,3 Bor,1 Fine,1 Road-Dry
41,1,Friday   ,20,3 Bor,2 Raining,2 Road-Wet
32,1,Friday   ,7.4,3 Bor,1 Fine,1 Road-Dry
33,1,Monday   ,15.4,3 Bor,1 Fine,1 Road-Dry
0,1,Friday   ,12.15,3 Bor,1 Fine,1 Road-Dry
23,1,Tuesday  ,15.53,3 Bor,1 Fine,1 Road-Dry
30,1,Tuesday  ,15.53,3 Bor,1 Fine,1 Road-Dry
61,1,Sunday   ,19.15,3 Bor,1 Fine,2 Road-Wet
18,1,Saturday ,9.45,1 TLRN,1 Fine,1 Road-Dry
28,1,Wednesday,8.35,3 Bor,1 Fine,1 Road-Dry
41,1,Wednesday,8.35,3 Bor,1 Fine,1 Road-Dry
30,1,Wednesday,13,3 Bor,1 Fine,1 Road-Dry
37,1,Wednesday,13,3 Bor,1 Fine,1 Road-Dry
36,1,Sunday   ,16.37,3 Bor,1 Fine,1 Road-Dry
